0 -0.00490313
1 -0.00481958
2 -0.00455831
3 -0.0040839
4 -0.00332863
5 -0.00219097
6 -0.000519264
7 0.00191986
8 0.00546216
9 0.0105762
10 0.0179518
11 0.0286019
12 0.0439235
13 0.0658632
14 0.0972925
15 0.142188
16 0.173936
17 0.196151
18 0.211451
19 0.221675
20 0.228126
21 0.23175
22 0.23325
23 0.233163
24 0.231905
25 0.229802
26 0.227112
27 0.224039
28 0.220743
29 0.217352
30 0.213961
31 0.210644
32 0.207455
33 0.204431
34 0.201597
35 0.198966
36 0.196543
37 0.194329
38 0.192316
39 0.190496
40 0.188858
41 0.187389
42 0.186076
43 0.184905
44 0.183865
45 0.182941
46 0.182123
47 0.181399
48 0.180759
49 0.180194
50 0.179694
51 0.179252
52 0.178861
53 0.178515
54 0.178208
55 0.177935
56 0.177692
57 0.177474
58 0.177278
59 0.177099
60 0.176934
61 0.17678
62 0.176636
63 0.176497
64 0.176363
65 0.176232
66 0.1761
67 0.175966
68 0.175827
69 0.175677
70 0.175515
71 0.175337
72 0.175141
73 0.174923
74 0.174681
75 0.174413
76 0.174111
77 0.17377
78 0.173379
79 0.172928
80 0.172407
81 0.171806
82 0.171113
83 0.170319
84 0.169409
85 0.168364
86 0.167158
87 0.165754
88 0.164112
89 0.162183
90 0.159914
91 0.157247
92 0.154111
93 0.150416
94 0.146039
95 0.140812
96 0.134512
97 0.126854
98 0.117487
99 0.105973
100 0.0917226
101 0.0738955
102 0.0512925
103 0.0222307
104 -0.0156659
105 -0.0657639
106 -0.101343
107 -0.126476
108 -0.144223
109 -0.156696
110 -0.165418
111 -0.171519
112 -0.175783
113 -0.178747
114 -0.180791
115 -0.182191
116 -0.183127
117 -0.183717
118 -0.184042
119 -0.184145
